GDSC	Pubchem
Erlotinib	176870
Rapamycin	5284616
Sunitinib	5329102
PHA-665752	10461815
MG-132	462382
Paclitaxel	36314
Paclitaxel	441276
Paclitaxel	4666
Paclitaxel	44155032
Paclitaxel	91885464
Paclitaxel	53313247
Paclitaxel	73759704
Paclitaxel	24791027
Paclitaxel	16760674
Paclitaxel	6713921
Paclitaxel	6915727
Paclitaxel	5352019
Paclitaxel	133640187
Cyclopamine	442972
Cyclopamine	66577043
Cyclopamine	46783360
Cyclopamine	4113848
Cyclopamine	102004827
Cyclopamine	86287406
Cyclopamine	44118238
Cyclopamine	122130428
Cyclopamine	20518
Cyclopamine	134694700
AZ628	11676786
Sorafenib	216239
Tozasertib	5494449
Imatinib	5291
NVP-TAE684	16038120
Crizotinib	11626560
Saracatinib	10302451
S-Trityl-L-cysteine	76044
Z-LLNle-CHO	16760646
Dasatinib	3062316
GNF-2	5311510
CGP-60474	644215
CGP-082996	24825971
A-770041	9549184
WH-4-023	11844351
BI-2536	11364421
BMS-536924	135440466
BMS-509744	11467730
CMK	16663089
Pyrimethamine	4993
A-443654	10172943
GW843682X	9826308
Entinostat	4261
Parthenolide	7251185
Parthenolide	6473881
Parthenolide	5420804
Parthenolide	5420805
Parthenolide	108068
Parthenolide	4692
Parthenolide	5353864
Parthenolide	927704
Parthenolide	11972532
Parthenolide	5320420
Parthenolide	5702252
Parthenolide	91873711
Parthenolide	73759808
Parthenolide	123134657
Parthenolide	124463365
Parthenolide	23631982
GSK319347A	11626927
TGX221	9907093
Bortezomib	387447
Seliciclib	160355
Salubrinal	5717801
Lapatinib	208908
GSK269962A	16095342
Doxorubicin	31703
Etoposide	36462
Gemcitabine	60750
Mitomycin-C	5746
Vinorelbine	5311497
Vinorelbine	60780
Vinorelbine	13200033
Vinorelbine	44424639
Vinorelbine	71752961
NSC-87877	92577
Bicalutamide	2375
QS11	42623900
CP466722	44551660
Midostaurin	9829523
CHIR-99021	9956119
Ponatinib	24826799
AZD6482	44137675
JNK-9L	25222038
PF-562271	11713159
HG6-64-1	53302361
JQ1	46907787
DMOG	560326
FTI-277	3005532
OSU-03012	10027278
Shikonin	479503
AKT inhibitor VIII	135398501
Embelin	3218
FH535	3463933
PAC-1	135421197
IPA-3	521106
GSK650394	25022668
BAY-61-3606	11784504
5-Fluorouracil	3385
Thapsigargin	446378
Obatoclax Mesylate	16681698
Obatoclax Mesylate	46930996
Obatoclax Mesylate	16727411
Obatoclax Mesylate	70700268
Obatoclax Mesylate	71816154
Obatoclax Mesylate	56973712
Obatoclax Mesylate	56843157
BMS-754807	24785538
Linsitinib	11640390
Bexarotene	82146
Bleomycin	5360373
Bleomycin	5460769
Bleomycin	456190
Bleomycin	84068
LFM-A13	54676905
GW-2580	11617559
Luminespib	135539077
Phenformin	8249
Bryostatin 1	5280757
Bryostatin 1	22524140
Bryostatin 1	433902
Bryostatin 1	44277532
Bryostatin 1	16760328
Bryostatin 1	5477635
Bryostatin 1	5458769
Bryostatin 1	6473739
Bryostatin 1	124918436
Bryostatin 1	122173102
Bryostatin 1	6435419
Bryostatin 1	134817197
Bryostatin 1	133635911
Pazopanib	10113978
Dacinostat	6445533
Epothilone B	448013
GSK1904529A	25124816
BMS-345541	9926054
BMS-345541	9813758
Tipifarnib	159324
Avagacestat	46883536
Ruxolitinib	25126798
AS601245	10109823
Ispinesib Mesylate	6450816
AT-7519	11338033
TAK-715	9952773
BX-912	11754511
ZSTK474	11647372
AS605240	5289247
GSK1070916	46885626
Enzastaurin	176167
GSK429286A	11373846
FMK	644243
Idelalisib	11625818
UNC0638	46224516
Cabozantinib	25102847
Quizartinib	24889392
CP724714	9874913
STF-62247	704473
NG-25	53340664
VX-11e	11634725
FR-180204	11493598
Tubastatin A	49850262
Zibotentan	9910224
Sepantronium bromide	11178236
NSC-207895	42640
AR-42	6918848
CUDC-101	24756910
Belinostat	6918638
I-BET-762	46943432
CAY10603	24951314
Linifanib	11485656
BIX02189	135659062
Alectinib	49806720
Pelitinib	6445562
Omipalisib	25167777
WHI-P97	3796
Masitinib	10074640
Amuvatinib	11282283
NVP-BHG712	16747388
OSI-930	9868037
OSI-027	135398516
CX-5461	25257557
PHA-793887	46191454
PI-103	9884685
PIK-93	6852167
TPCA-1	9903786
Fedratinib	16722836
Foretinib	42642645
Y-39983	11507964
Y-39983	9810884
Y-39983	20601328
YM201636	9956222
Tivozanib	9911830
GSK690693	16725726
SNX-2112	24772860
T0901317	447912
Selisistat	5113032
AICA Ribonucleotide	65110
Camptothecin	24360
Vinblastine	241903
Vinblastine	13342
Vinblastine	44417235
Vinblastine	3823887
Vinblastine	6710780
Vinblastine	129009934
Vinblastine	133126830
Cytarabine	6253
Docetaxel	148124
Methotrexate	126941
Tretinoin	444795
Gefitinib	123631
Navitoclax	24978538
Vorinostat	5311
Nilotinib	644241
Refametinib	44182295
CI-1040	6918454
Temsirolimus	6918289
Temsirolimus	18293306
Temsirolimus	23724530
Temsirolimus	53486199
Temsirolimus	9876533
Temsirolimus	71433778
Temsirolimus	148191
Temsirolimus	71312019
Temsirolimus	134812825
Temsirolimus	137295275
Temsirolimus	24847874
Temsirolimus	71296107
Temsirolimus	54608508
Temsirolimus	129317846
Temsirolimus	132274070
Temsirolimus	86287409
Olaparib	23725625
Veliparib	11960529
Bosutinib	5328940
Lenalidomide	216326
Axitinib	6450551
AZD7762	11152667
GW441756	9943465
GW441756	73755109
Lestaurtinib	126565
SB216763	176158
Tanespimycin	6505803
VX-702	10341154
Motesanib	11667893
KU-55933	5278396
Elesclomol	300471
Afatinib	10184653
Vismodegib	24776445
PLX-4720	24180719
BX795	10077147
NU7441	11327430
SL0101	10459196
Doramapimod	156422
JNK Inhibitor VIII	11624601
Wee1 Inhibitor	10384072
Nutlin-3a	11433190
Nutlin-3a	216345
Nutlin-3a	90062670
Nutlin-3a	16755649
PD173074	1401
ZM447439	9914412
RO-3306	135400873
RO-3306	136240579
RO-3306	135398497
MK-2206	24964624
Palbociclib	5330286
Dactolisib	11977753
Pictilisib	17755052
AZD8055	25262965
PD0325901	9826528
SB590885	135421339
SB590885	135564599
SB590885	135398506
Selumetinib	10127622
CCT007093	2314623
EHT-1864	9938202
PF-4708671	51371303
Serdemetan	11609586
TW 37	11455910
XMD8-92	46843772
CCT-018159	984170
Rucaparib	9931954
SB505124	9858940
Tamoxifen	2733526
PFI-1	71271629
IOX2	54685215
YK-4-279	44632017
(5Z)-7-Oxozeaenol	9863776
Piperlongumine	637858
Daporinad	6914657
Talazoparib	135565082
UNC1215	57339144
SGC0946	56962337
XAV939	135418940
Trametinib	11707110
Dabrafenib	44462760
Temozolomide	5394
Bleomycin	5360373
Bleomycin	5460769
Bleomycin	456190
Bleomycin	84068
SN-38	104842
Pevonedistat	16720766
PFI-3	78243717
