SM_LINCS_ID	SM_Center_Canonical_ID
LSM-1001	PCCSE_Roscovitine
LSM-1001	10001
LSM-1001	BRD-K07691486
LSM-1002	BRD-K68191783
LSM-1002	10002
LSM-1003	10003
LSM-1003	BRD-K22096725
LSM-1004	BRD-K13390322
LSM-1004	10004
LSM-1005	10005
LSM-1005	BRD-K53414658
LSM-1006	10006
LSM-1006	BRD-K46056750
LSM-1007	10007
LSM-1007	BRD-K69932463
LSM-1008	10008
LSM-1008	BRD-K23984367
LSM-1008	SOR
LSM-1009	BRD-K15592317
LSM-1009	10009
LSM-1011	BRD-K87909389
LSM-1011	10011
LSM-1011	PCCSE_flavopiridol
LSM-1012	BRD-A10523515
LSM-1012	10012
LSM-1013	BRD-K92428232
LSM-1013	10013
LSM-1014	10014
LSM-1014	BRD-K90382497
LSM-1020	DAS
LSM-1020	10020
LSM-1020	BRD-K49328571
LSM-1021	BRD-K59369769
LSM-1021	10021
LSM-1021	BRD-K87947369
LSM-1022	BRD-K97056771
LSM-1022	10022
LSM-1023	BRD-K92723993
LSM-1023	IMA
LSM-1023	10023
LSM-1023	CGC00002358
LSM-1024	BRD-K50140147
LSM-1024	10024
LSM-1025	BRD-K79090631
LSM-1025	10025
LSM-1026	10026
LSM-1026	BRD-K97764662
LSM-1027	CRI
LSM-1027	10027
LSM-1027	BRD-K78431006
LSM-1028	PCCSE_BMS-345541
LSM-1028	10028
LSM-1028	BRD-K13566078
LSM-1029	10029
LSM-1029	BRD-K39520573
LSM-1030	10030
LSM-1030	BRD-K09991945
LSM-1032	BRD-U07805514
LSM-1032	BRD-K19540840
LSM-1032	10032
LSM-1033	BRD-K68407802
LSM-1033	10033
LSM-1034	BRD-A60245366
LSM-1034	10034
LSM-1035	BRD-K04887706
LSM-1035	10035
LSM-1036	BRD-K82091397
LSM-1036	BRD-K98143437
LSM-1037	10037
LSM-1037	BRD-K93918653
LSM-1040	10040
LSM-1040	BRD-K20285085
LSM-1041	10041
LSM-1041	BRD-U70626184
LSM-1041	BRD-K64890080
LSM-1042	BRD-K99616396
LSM-1042	10042
LSM-1043	10043
LSM-1043	BRD-A29901043
LSM-1044	BRD-K24859147
LSM-1044	10044
LSM-1045	10045
LSM-1045	BRD-K38615104
LSM-1045	BRD-K88573743
LSM-1047	BRD-K52911425
LSM-1047	10047
LSM-1048	BRD-K05104363
LSM-1048	10048
LSM-1049	BRD-K16478699
LSM-1049	10049
LSM-1050	BRD-K05804044
LSM-1050	10050
LSM-1051	LAP
LSM-1051	BRD-M07438658
LSM-1051	10051
LSM-1051	BRD-K19687926
LSM-1052	CGC00003475
LSM-1052	10052
LSM-1053	10053
LSM-1053	BRD-K63068307
LSM-1055	BRD-K49669041
LSM-1055	10055
LSM-1056	BRD-K57080016
LSM-1056	10056
LSM-1056	PCCSE_Selumetinib
LSM-1057	BRD-K68065987
LSM-1057	10057
LSM-1058	BRD-K76969307
LSM-1058	10058
LSM-1058	BRD-K84085265
LSM-1059	10059
LSM-1059	BRD-K58772419
LSM-1060	BRD-K52751261
LSM-1060	10060
LSM-1061	10061
LSM-1061	BRD-K00337317
LSM-1062	BRD-K36740062
LSM-1062	10062
LSM-1063	BRD-K94294671
LSM-1063	10063
LSM-1064	10064
LSM-1064	BRD-A45498368
LSM-1065	10065
LSM-1065	BRD-K53561341
LSM-1066	BRD-K83963101
LSM-1066	10066
LSM-1067	10067
LSM-1067	BRD-K63923597
LSM-1068	10068
LSM-1068	BRD-K56343971
LSM-1068	VEM
LSM-1068	PCCSE_vemurafenib
LSM-1069	BRD-K79404599
LSM-1069	10069
LSM-1070	BRD-A68739437
LSM-1070	10070
LSM-1071	10071
LSM-1071	BRD-K51313569
LSM-1071	PCCSE_PD-0332991
LSM-1072	10072
LSM-1072	BRD-K99545815
LSM-1073	BRD-K64800655
LSM-1073	10073
LSM-1074	10074
LSM-1074	BRD-K25311561
LSM-1074	PCCSE_KU-55933
LSM-1079	BRD-K40175214
LSM-1079	10079
LSM-1080	10080
LSM-1080	BRD-K68174511
LSM-1081	10081
LSM-1081	BRD-K09186807
LSM-1085	BRD-K72420232
LSM-1085	10085
LSM-1086	BRD-K01436366
LSM-1086	10086
LSM-1092	10092
LSM-1092	BRD-K83972459
LSM-1093	10093
LSM-1093	BRD-K64857848
LSM-1094	BRD-K50387473
LSM-1094	10094
LSM-1096	BRD-K72703948
LSM-1096	10096
LSM-1097	BRD-K70401845
LSM-1097	10097
LSM-1097	ERL
LSM-1098	GEF
LSM-1098	10098
LSM-1098	BRD-K64052750
LSM-1099	PCCSE_Nilotinib
LSM-1099	10099
LSM-1099	NIL
LSM-1099	BRD-K81528515
LSM-1101	PCCSE_PD0325901
LSM-1101	BRD-K49865102
LSM-1101	10101
LSM-1102	BRD-A28746609
LSM-1102	10102
LSM-1103	BRD-K17953061
LSM-1103	CGC00003476
LSM-1103	10103
LSM-1103	PCCSE_staurosporine
LSM-1105	10105
LSM-1106	10106
LSM-1107	CGC00003467
