TTDTargetID	Target_Name	Indication	ICD9	ICD10
T00039	mRNA of connective tissue growth factor	Fibrosis	709.2	L90.5
T00100	Ubiquitin-activating enzyme	Solid tumours	140-199, 210-229	C00-D48
T00140	Arachidonate 5-lipoxygenase	Allergy	995.3	T78.4
T00140	Arachidonate 5-lipoxygenase	Arthritis	710-719	M00-M25
T00140	Arachidonate 5-lipoxygenase	Asthma		J45
T00140	Arachidonate 5-lipoxygenase	Atherosclerosis	414.0, 440	I70
T00140	Arachidonate 5-lipoxygenase	Atopic dermatitis	691.8, 692.9	L00-L99
T00140	Arachidonate 5-lipoxygenase	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
T00140	Arachidonate 5-lipoxygenase	Dermatitis	692.9	L20-L30
T00140	Arachidonate 5-lipoxygenase	Fungal infections	110-118	B35-B49
T00140	Arachidonate 5-lipoxygenase	Inflammation		E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, G89
T00140	Arachidonate 5-lipoxygenase	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
T00140	Arachidonate 5-lipoxygenase	Lymphatic filariasis	125	B74
T00140	Arachidonate 5-lipoxygenase	Osteoarthritis	715	M15-M19, M47
T00140	Arachidonate 5-lipoxygenase	Pruritus	698	L29
T00140	Arachidonate 5-lipoxygenase	Psoriasis	696	L40
T00140	Arachidonate 5-lipoxygenase	Respiratory disease		J00-J99
T00140	Arachidonate 5-lipoxygenase	Rheumatoid arthritis	710-719, 714	M05-M06
T00140	Arachidonate 5-lipoxygenase	Rhinitis	472.0, 477	J00, J30, J31.0
T00140	Arachidonate 5-lipoxygenase	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
T00140	Arachidonate 5-lipoxygenase	Unspecified		
T00176	Ubiquitin-protein ligase E3 Mdm2	Acute myeloid leukemia	205	C92.0
T00176	Ubiquitin-protein ligase E3 Mdm2	Cancer	140-229	C00-C96
T00176	Ubiquitin-protein ligase E3 Mdm2	Hematological malignancies	200-209	C81-C86
T00176	Ubiquitin-protein ligase E3 Mdm2	Non-small cell lung cancer; Prostate cancer	185	C33-C34, C61
T00176	Ubiquitin-protein ligase E3 Mdm2	Solid tumours	140-199, 210-229	C00-D48
T00178	Interferon alpha	Systemic lupus erythematosus	710	M32
T00238	mRNA of Nuclear factor kappa B	Ulcerative colitis	556	K51
T00239	Interleukin-4	Asthma; Pulmonary tuberculosis		J45, A15-A19
T00417	GABA(B) receptor	Anesthesia narcolepsy	338, 347	G47.4, R20.0
T00417	GABA(B) receptor	Multiple scierosis	340	G35
T00419	Fast skeletal muscle troponin complex	Muscle fatigue	780.7	R53
T00419	Fast skeletal muscle troponin complex	Muscular atrophy	728.2	M62.5
T00420	HIV REV protein	Human immunodeficiency virus infection	279.3	B20-B26
T00477	Serine Racemase	Neurodegenerations; Epilepsy; Neuropathic pain; Drug addiction; Schizophrenia	295, 303-304, 330-337, 338, 345, 356.0, 356.8,780	F10-F19, F20, G30-G32, G40, G64, G90.0, R52, G89
T00484	Interleukin-23 receptor	Autoimmune diabetes		E08-E13
T00484	Interleukin-23 receptor	Cancer	140-229	C00-C96
T00484	Interleukin-23 receptor	Inflammatory bowel disease	555, 556	K50, K51
T00484	Interleukin-23 receptor	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
T00494	ATP-binding cassette, sub-family A, member 1	Coronary artery disease	410-414, 429.2	I20-I25
T00494	ATP-binding cassette, sub-family A, member 1	Dyslipidaemias	272	E78
T00494	ATP-binding cassette, sub-family A, member 1	Lipid metabolism disorder		E75-E78
T00523	Urate transporter	Hyperuricosuria		E79
T00663	Mitogen-activated protein kinase 10	Central nervous system injury		P11.9
T00750	Galactoside 3(4)-L-fucosyltransferase	Fallopian tube cancer		C57.0, D28.2
T00864	Nicotinic acid receptor 1	Acute ischemic stroke	434.91	I61-I63
T00864	Nicotinic acid receptor 1	Arteriosclerosis	440	I70
T00864	Nicotinic acid receptor 1	Atherosclerosis	414.0, 440	I70
T00864	Nicotinic acid receptor 1	Cardiovascular disorder		I00-I99
T00864	Nicotinic acid receptor 1	Hyperlipidaemia	272.0-272.4	E78
T00864	Nicotinic acid receptor 1	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
T00864	Nicotinic acid receptor 1	Type 2 diabetes	250	E11
T00895	Protein kinase C, epsilon type	Ischemic reperfusion injury		I00-I99
T00938	DHICA oxidase	Melanoma	172	C43
T00972	HIV envelopeglycoprotein gp120	Human immunodeficiency virus infection	279.3	B20-B26
T00972	HIV envelopeglycoprotein gp120	Unspecified		
T01110	Colony stimulating factor-1 receptor (CSF-1R)	Autoimmune diabetes		E08-E13
T01110	Colony stimulating factor-1 receptor (CSF-1R)	Bone metastases	198.5	C79.51
T01110	Colony stimulating factor-1 receptor (CSF-1R)	Cancer	140-229	C00-C96
T01110	Colony stimulating factor-1 receptor (CSF-1R)	Hodgkin's lymphoma		C81
T01110	Colony stimulating factor-1 receptor (CSF-1R)	Rheumatoid arthritis	710-719, 714	M05-M06
T01110	Colony stimulating factor-1 receptor (CSF-1R)	Solid tumours	140-199, 210-229	C00-D48
T01141	MicroRNA miR-191	Hepatocellular carcinoma	155	C22.0
T01232	Stem or T cell	Congestive heart failure	428	I50
T01232	Stem or T cell	Insulin dependent diabetes		E10
T01280	beta-site APP-cleaving enzyme 2	Focal segmental glomerulosclerosis		N00-N08
T01283	Tumor susceptibility gene protein 101	Influenza virus		J11.1
T01318	Dihydroorotate dehydrogenase, mitochondrial	Fungal infections	110-118	B35-B49
T01318	Dihydroorotate dehydrogenase, mitochondrial	Malaria		B54
T01318	Dihydroorotate dehydrogenase, mitochondrial	Multiple scierosis; Active rheumatoid arthritis	340, 714	G35, M05, M06
T01358	DNA damage in cancer cell	Breast cancer	174, 175	C50
T01447	NEDD8-activating enzyme	Advanced malignancies	140-229	C00-C96
T01575	Sphingosine 1 phosphate lyase 1	Autoimmune diabetes		E08-E13
T01575	Sphingosine 1 phosphate lyase 1	Rheumatoid arthritis	710-719, 714	M05-M06
T01777	Alpha-2C adrenergic receptor	Alcohol use disorders	303	F10.2
T01777	Alpha-2C adrenergic receptor	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
T01777	Alpha-2C adrenergic receptor	Alzheimer disease	331	G30
T01777	Alpha-2C adrenergic receptor	Asthma		J45
T01777	Alpha-2C adrenergic receptor	Contusion		S36.220S
T01777	Alpha-2C adrenergic receptor	Depression	311	F30-F39
T01777	Alpha-2C adrenergic receptor	Diabetic nephropathy; Fibromyalgia	250.4, 729.1	E11.21, M79.7
T01777	Alpha-2C adrenergic receptor	Erythema	695	L51-L54
T01777	Alpha-2C adrenergic receptor	Glaucoma	365	H40-H42
T01777	Alpha-2C adrenergic receptor	Heart failure	428	I50
T01777	Alpha-2C adrenergic receptor	Hypertension	401	I10-I16
T01777	Alpha-2C adrenergic receptor	Hypotension	458, 796.3	I95
T01777	Alpha-2C adrenergic receptor	Male sexual disorders		F52
T01777	Alpha-2C adrenergic receptor	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
T01777	Alpha-2C adrenergic receptor	Obesity	278	E66
T01777	Alpha-2C adrenergic receptor	Ocular disease		H00-H59
T01777	Alpha-2C adrenergic receptor	Ocular hypertension	365.04	H40.0
T01777	Alpha-2C adrenergic receptor	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
