From	To
P10451	SPP1
P01135	TGFA
Q96WX4	erg6
P29279	CCN2
Q5VT25	CDC42BPA
Q9H490	PIGU
P09917	ALOX5
Q9UL62	TRPC5
Q00987	MDM2
Q00653	NFKB2
P05112	IL4
P20393	NR1D1
Q16653	MOG
P30532	CHRNA5
O60235	TMPRSS11D
P17811	pla
Q90835	EEF1A
P02585	TNNC2
P04618	rev
Q937U6	lysK
Q9GZT4	SRR
Q5VWK5	IL23R
O00398	P2RY10
O95477	ABCA1
Q99956	DUSP9
P46721	SLCO1A2
P53779	MAPK10
P48431	SOX2
Q92918	MAP4K1
P21217	FUT3
Q14654	KCNJ11
Q9Y4D2	DAGLA
Q8TDS4	HCAR2
P25024	CXCR1
P49019	HCAR3
Q02156	PRKCE
P34130	NTF4
Q9UPP1	PHF8
P17643	TYRP1
O70902	env
Q86U86	PBRM1
O75460	ERN1
O00308	WWP2
E9PEK4	CSF1R
O75602	SPAG6
Q9NY57	STK32B
Q9Y5Z0	BACE2
O15393	TMPRSS2
Q99816	TSG101
Q86TM6	SYVN1
Q13564	NAE1
Q8TBC4	UBA3
P57773	GJA9
O95470	SGPL1
P04040	CAT
Q5VTY9	HHAT
P18825	ADRA2C
P05556	ITGB1
O97467	ht1
P20151	KLK2
Q04912	MST1R
Q08499	PDE4D
P15848	ARSB
Q9UB86	gamma-GCS
P72525	parC
Q14213	EBI3
Q13950	RUNX2
Q5JUK3	KCNT1
Q9Y275	TNFSF13B
Q86XT9	TMEM219
P10912	GHR
Q9F0I5	cft
O95399	UTS2
Q9BQI3	EIF2AK1
P54762	EPHB1
P06729	CD2
P35499	SCN4A
P35462	DRD3
O14684	PTGES
Q9NPD5	SLCO1B3
Q96GD0	PDXP
P02787	TF
O15392	BIRC5
P0ABQ4	folA
P35228	NOS2
Q14832	GRM3
P10914	IRF1
P30989	NTSR1
P51677	CCR3
O60706	ABCC9
P01574	IFNB1
P56070	ppsA
Q9NPH3	IL1RAP
Q9H3Y6	SRMS
P78395	PRAME
P51812	RPS6KA3
P01589	IL2RA
Q14210	LY6D
P24394	IL4R
Q9GZS9	CHST5
Q14061	COX17
P9WJV5	mmpL3
Q03426	MVK
P39900	MMP12
P57771	RGS8
P60484	PTEN
P20823	HNF1A
Q8NI51	CTCFL
P31994	FCGR2B
Q15208	STK38
Q92187	ST8SIA4
Q92793	CREBBP
P37840	SNCA
P00813	ADA
Q9UKV0	HDAC9
P09960	LTA4H
Q92843	BCL2L2
Q92956	TNFRSF14
P37231	PPARG
P01112	HRAS
P21741	MDK
P05023	ATP1A1
P50993	ATP1A2
P13637	ATP1A3
P05026	ATP1B1
P14415	ATP1B2
P54709	ATP1B3
P21860	ERBB3
