	A375	A549	BT20	HS578T	HT29	JURKAT	LNCAP	MCF7	MDAMB231	PC3
1401	7.3319	28.2059	55.2677	2.2489	27.9521		32.7803	7.3559	13.5512	28.3838
3796	45.6774				132.9356			157.1306		50.9535
5291							7.8411			
5311	1.0442	1.6399			1.9856	0.954		5.7584		
123631	1.1172	1.9947	1.1428	6.4544	6.9902			2.8346	6.476	
156422	17.8801	105.5993			123.402	70.2797		97.0032		33.6525
176158	14.1704	35.1949			91.3422	75.4681		18.4081		
176167	22.4786		13.6426	243.4046	2.3304			297.1886	332.0096	6.8548
208908							34.3086			
216239							19.5108			
644215							0.9183			
644241	4.4031	34.6295	40.1755		21.1572			20.815	14.8022	
3062316							24.2829			
5278396	11.8426	6.9439			84.1906			20.0393		26.3117
5328940	0.3376	2.5586			4.8615	6.0406		24.4813		
5330286	0.6558	0.6779	74.3783	0.959	1.2188		6.0787	1.4883	2.0842	0.6897
6445562	24.8001		4.9701	97.5466	3.5827			68.6806	14.3956	14.0628
6852167	8.5376		18.1797	195.9066	9.0345			309.6083	335.8024	5.269
6918454	0.1307	2.2044	13.74	3.4659	1.2572			31.2584	4.1216	
6918638	0.4852				0.5602			28.8809		1.0579
9810884	65.0666		130.2357	174.4559	105.1329		11.0482	309.7774	254.4204	136.5122
9813758	13.3405		37.5916	234.7807	16.117		17.4922	177.7779	28.9448	31.6436
9826308							5.0953			
9826528	0.0037	0.0198	0.6844	0.0159	0.0244	3.1568	7.1573	0.8198	0.1315	1.7962
9868037	67.2471				82.9649			19.9094		183.1228
9874913	67.9772		164.2624	194.7197	66.1065			103.5079	70.9498	105.0955
9884685	67.9772		1.0102	194.0118	61.3012		0.1849	158.6061	10.6822	0.4068
9903786	9.7054				16.275			309.7774		19.6489
9911830	0.8497				1.5433			1.9826		1.8685
9914412	1.3358	14.5132			10.7559			18.122		5.5622
9931954	8.0854	27.7631			12.1386			6.7764		42.9949
9952773	16.7452				75.4859			78.8228		40.5539
9956119	5.0872	145.5498	88.8434	11.8312	37.9337		59.1322	8.7719	52.9854	49.6491
9956222	9.7777		18.0925	32.8807	14.2387			79.303	85.8061	7.3973
10074640	33.2268				9.8924			140.8125		39.7689
10077147	1.1326	1.7419			69.872			11.6881		4.3039
10109823	3.5535		40.38	8.0951	5.3769			1.2429	8.2795	9.3311
10113978	13.0831				103.5799			16.7714		96.4799
10127622	0.0546	0.146	21.568	1.8765	0.1529		35.5083	44.9335	2.9584	33.9101
10172943							2.4617			
10302451							39.8067			
11152667	0.1788	0.3264			0.3003			5.1055		
11282283	130.5454				58.9012			1.1831		65.8435
11327430	2.5919	1.6295	40.0947	7.3135	8.4389			14.0467	24.6132	3.9145
11338033	5.6324		1.2353	192.8443	0.8603		0.4366	84.9497	3.1054	2.3651
11364421							4.9286			
11373846	63.8022				185.8645			309.3969		123.8544
11485656	6.7429		18.9069	19.3842	5.768		5.9071	11.2146	12.0555	18.2268
11625818	49.5301				63.7547			307.4412		33.455
11640390	0.451		46.8099	23.3001	0.2186			1.5582	10.8455	50.3344
11647372	2.565		1.8178	110.7369	2.4008		0.1458	91.4495	12.3985	0.8471
11667893	3.748	23.0936			27.9838	10.2657		8.0149		6.0083
11707110	0.0017	0.0069	0.4685	0.5454	0.0056			11.1018	0.0601	18.6148
11713159	3.0029		9.3617	47.7237	3.452		16.7432	3.1415	1.4272	5.7275
11754511	7.9101		93.0839	50.5819	23.3522			153.4712	103.8802	37.5476
11960529	11.3374	32.9744			69.6349			77.4444		
11977753	0.019	0.0126	0.1117	0.0265	0.4055			0.0487	0.0909	0.0065
16038120							6.3976			
16722836	67.9752		27.9753	44.5419	3.6224			158.6061	11.7826	18.4787
16747388	2.2087				3.9492			100.9845		182.4133
17755052	2.3523	1.4986	4.1134	2.4305	2.4323		1.253	0.4621	6.6478	1.2339
23725625	7.4433	11.6678			107.4105			26.0634		72.6947
24180719	0.5116	48.8303	235.0147	167.8395	20.639			137.409	147.3081	188.4186
24826799	0.7656				1.0753			0.924		11.7861
24889392	6.7977				12.2747			15.7033		18.8705
24964624	3.1533	1.5276	4.5325	1.57	10.7807		0.6602	2.4364	51.0602	2.847
25102847	7.7525				7.3958			79.2213		33.5868
25124816	5.1772		8.8617	19.3591	6.918		9.0102	9.0197	3.2592	4.0091
25126798	31.4872		139.0381	99.2701	72.7339			46.581	77.3972	125.2861
25222038	0.415		0.6254	11.1675	0.3688		0.5436	0.3139	1.0601	3.4577
25257557	4.4936				30.5656			158.6061		31.3747
25262965	0.3331	0.151	1.0894	0.636	1.8088		0.4071	0.486	1.9498	0.6709
42642645	0.4792		15.8318	2.0713	0.573			79.303	61.7546	2.1243
44137675	9.0795	10.9252	1.7651	3.5822	63.9824			2.5821	12.737	7.7828
44462760	0.0181	8.2006			3.6456			20.8816		199.5365
44551660	8.7947		17.6496	304.2495	10.711			175.1693	15.8427	13.4225
46191454	67.9693		18.7344	194.7197	1.605		1.6492	158.6061	71.8296	5.949
46224516	46.9162	198.2516			6.5344			95.6848		212.938
46843772	9.8848	15.6722			9.7373					
46885626	0.9049				12.4159			55.5783		8.7349
46907787	6.317	8.1876			12.5726			8.1556		15.0579
46943432	40.3769				23.4997			309.4356		23.9095
49806720	33.9868				59.5527			68.7502		81.5939
53302361	0.8345		15.7407	8.4535	2.2127		40.8945	2.5917	1.4492	43.8562
54685215	0.5842	1.4218			1.246			1.3704		2.0502
57339144	6.0299	10.1475			12.5726			13.2075		17.2802
71271629	4.9154	5.8604			6.2559			6.2457		8.3231
