	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR	negLog10_FDR
E4F1	3.022349972967877	0.6683367110152064	11.397710053389217	2.7152633966257867e-23	1.702470149684368e-20	19.76892049406482
RBL1	1.463669138889288	0.36492219401649506	11.27411841100164	9.204273339423557e-23	2.885539691909285e-20	19.539772947396344
E2F4	0.9139144340059631	0.19996389187378116	10.722413483428149	1.5811217594134187e-21	3.3045444771740453e-19	18.480888398412628
RBL2	1.1183184126638277	0.17653970324541932	10.479694021139622	3.9388067147289206e-21	6.174079525337583e-19	18.209427780880347
TP53	0.28348256112141196	0.08161924287531135	9.593880229328608	8.869699080658158e-18	5.561301323572666e-16	15.254823573252612
DLX4	1.414783946145007	0.2998711980125353	9.438332043517924	1.2099002490299827e-17	5.941110685692035e-16	15.226132356437066
ID4	1.414783946145007	0.2998711980125353	9.438332043517924	1.2099002490299827e-17	5.941110685692035e-16	15.226132356437066
ZHX2	1.4566450535025017	0.43399940941768833	9.1104287132705	7.478162479269327e-17	3.3491484817870483e-15	14.475065597938988
MSC	0.6573689787392363	0.1780058665574633	9.1033145605629	8.13869539290016e-17	3.4019746742322666e-15	14.468268923786976
LMO4	0.30475549517921485	0.0722651327131615	8.90781164312583	2.5212662865030433e-16	9.8802122602338e-15	14.005233725204066
E2F6	0.4367686969239518	0.050501145591963045	8.780464357713738	1.1920545836386683e-15	4.3727128623828073e-14	13.359249040006375
SOX6	1.0503163722971152	0.3404704957996115	8.707153085308681	1.2553242667127678e-15	4.3727128623828073e-14	13.359249040006375
POLR1A	0.8064663422839563	0.17714491803714194	8.42592333523012	1.3507991238036168e-14	3.6823958722820333e-13	12.433869524928697
E2F8	0.8064663422839563	0.17714491803714194	8.42592333523012	1.3507991238036168e-14	3.6823958722820333e-13	12.433869524928697
E2F7	0.8064663422839563	0.17714491803714194	8.42592333523012	1.3507991238036168e-14	3.6823958722820333e-13	12.433869524928697
NR4A1	0.46408108445186863	0.027424870669101004	8.298420354266751	7.010539032344974e-15	2.3134778806738416e-13	12.635734648464588
SPEN	0.6508896037963708	0.08966687584727694	8.059681285983666	2.5632211134941183e-14	6.696415159003385e-13	12.174157629137396
SF1	0.43309216990442334	-0.002467410941636018	8.028970884216859	7.428539191017904e-14	1.7250718788030464e-12	11.763192804406842
ETV6	1.0264754570795018	0.3676290435702917	8.021092298636246	6.331732843487641e-14	1.5269217280256735e-12	11.816183224867475
BRCA1	0.2612920991979575	0.05480356698627474	7.579705124336659	8.216554934167461e-13	1.6618644979751607e-11	10.779404389806253
PAWR	0.6005926219778067	0.03103580253139161	7.5318869319321875	1.2312271493846909e-12	2.4124356958256286e-11	10.617544254075481
CBX7	0.811766155332651	0.11295136823605166	7.521405920706797	6.468346977353465e-13	1.3518845182668742e-11	10.869060405451709
IRF1	0.3351466516373658	0.08538691164879014	7.391776072806536	2.8827474173972684e-12	5.3161253844355506e-11	10.274404784477555
ATOH1	1.150820929198745	-0.054948892753224746	7.308979568816237	3.1123791302985963e-12	5.575604899134914e-11	10.253708008978377
MEF2D	1.5348324024684117	0.33916397451608526	7.289182920359742	6.475345966839641e-12	1.0973086273536365e-10	9.959671206239674
SPDEF	0.5849018344006185	0.06305725605395993	7.270148959333983	6.023326823030245e-12	1.0490627550111009e-10	9.979198531501538
MITF	0.6043037615809855	0.12253651048969084	7.10260767046397	1.089799618104079e-11	1.708260901378144e-10	9.767445799117924
NR2F2	0.8936393900959974	0.09500663536691348	7.098601841076588	9.334260058840532e-12	1.500661809459747e-10	9.823717169738131
BTAF1	0.5386805212025838	0.06250895981959044	7.003886490694	3.4826735851444094e-11	4.747035517142488e-10	9.323577518894387
TCF19	1.1399294563471531	0.32067935775607764	6.937138614543639	3.6957679725226614e-11	4.930311742067466e-10	9.307125619550494
KLF2	0.7547683099311561	0.23015771054544198	6.930808834879785	3.396122925132596e-11	4.731931275684751e-10	9.324961571484433
MYOCD	1.513039962751837	0.07759895494200568	6.722517685489529	1.5356270420056077e-10	1.816675764787766e-09	8.740722577440875
NR4A3	1.3293461883401996	0.1566915574350146	6.58624760101317	4.4902983441168753e-10	4.939328178528563e-09	8.306332117513472
RB1	0.3391528640003061	0.06762723653005574	6.540297586291116	5.011574767669285e-10	5.41768513677352e-09	8.266186238751972
RUNX2	0.37513603524236844	-0.003788660951440087	6.4714036503321495	4.117478760471515e-10	4.610105683599357e-09	8.33628911858477
CRX	0.11184205477966426	0.014060887626473638	6.426777997102329	7.450152905941145e-10	7.917365884788302e-09	8.101419284569843
FOXO3	0.45503726041388487	0.13292084914971536	6.376522003938479	1.1694767341759654e-09	1.1826805037553715e-08	7.927132562385129
FOXP3	0.31101213916419557	0.08668813265920984	6.338068877152516	1.1355024837599393e-09	1.1671476349466916e-08	7.932874205662116
OTX1	0.49776721258470774	0.11479917454223873	6.240807491763839	2.202175499309144e-09	2.060841847860945e-08	7.685955335361353
