	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR	negLog10_FDR
E4F1	3.159817612746477	0.5074864230005903	10.105517657589132	1.0323371245573335e-16	1.6181884427436202e-14	13.79097090492505
RBL1	1.3178977222239445	0.2111032439486076	10.089033801924167	7.546988494378086e-17	1.6181884427436202e-14	13.79097090492505
DLX4	1.4957135527316803	0.28807140532912284	9.719529116537428	2.6009460192614295e-16	2.3394169487764366e-14	13.630892368009025
ID4	1.4957135527316803	0.28807140532912284	9.719529116537428	2.6009460192614295e-16	2.3394169487764366e-14	13.630892368009025
E2F4	1.0738099702323336	0.30013845936199135	9.463218628356657	1.7363225088051922e-15	1.3608427662760693e-13	12.866192050904994
SOX6	0.8686400045714239	0.12962812127985768	9.450154500869742	2.611789257007186e-16	2.3394169487764366e-14	13.630892368009025
TP53	0.2505966130999469	0.030616155296796142	8.993634696199567	9.842584391362777e-15	6.857000459316068e-13	12.163865821443416
RB1	0.48548115947736337	0.0498560774483259	8.678294254729126	5.760359459398539e-14	2.7782656777252955e-12	11.556226226253896
ZHX2	1.4380532136960003	0.3541430061807622	8.668028145171576	8.00429360485478e-14	3.584780064459962e-12	11.445537484269948
RBL2	1.0906420155383252	0.2311827920274639	8.204011854162685	7.411961665539861e-13	2.7337058613491136e-11	10.563248216053903
MSC	0.6499481982181657	0.07357506387558459	7.674605306729858	1.2893692029619758e-11	3.8496880488436136e-10	9.41457446118106
KLF6	0.4407724121059566	0.049082247721105136	7.54686315796716	4.871480021256187e-12	1.6075884070145415e-10	9.793825134345994
BHLHE41	0.9291061330854853	0.14416557953473275	7.28649711416998	2.1234910012234222e-11	5.788821120726459e-10	9.237409870278022
ETV6	0.8163272040002819	0.1866992879360193	7.2384113551428655	4.8908557237108644e-11	1.2777360578194634e-09	8.893558849206697
ZBTB16	0.664867449906222	0.03946216846570606	7.187502927184124	5.763375827635218e-11	1.4454546575709127e-09	8.839995527151817
E2F7	0.8204565492287925	0.12486131152604564	7.1869950581172795	1.4479914509145976e-10	2.9286794829788797e-09	8.533328155252633
E2F8	0.8204565492287925	0.12486131152604564	7.1869950581172795	1.4479914509145976e-10	2.9286794829788797e-09	8.533328155252633
POLR1A	0.8204565492287925	0.12486131152604564	7.1869950581172795	1.4479914509145976e-10	2.9286794829788797e-09	8.533328155252633
RFX1	0.9322350439427277	-0.060973580266710854	7.023715822170806	2.2708744827564976e-10	4.068109430538069e-09	8.39060737324201
CTBP1	0.5475072836338021	0.04835760667285174	6.941551671928043	2.2690480951812731e-10	4.068109430538069e-09	8.39060737324201
IRF1	0.43746028835948664	0.08311849208730296	6.916354836404984	3.5304859568184093e-10	5.675935115192674e-09	8.245962577850724
MLXIPL	1.9996133527320394	0.5568931324470807	6.642428833917782	6.872894370347773e-10	1.0510499439531838e-08	7.9783766466093216
PIAS1	0.6920111400969109	-0.005699169314227301	6.6249960410747954	1.130755765305414e-09	1.6487996856895224e-08	7.782832104018339
PURA	0.8350096583265448	0.0600976635410366	6.4462379188661405	2.015477397277095e-09	2.8082318402060856e-08	7.551567040856389
KLF2	0.636194243923932	0.12106034153127329	6.416187537352294	3.2461276982673506e-09	4.3304724825821893e-08	7.363464716721993
E2F6	0.35805887165318745	0.028339503581702986	6.352371150974657	6.271334400188151e-09	7.864253337835941e-08	7.104342504655568
YBX1	0.41528393486079196	0.1107112020822231	6.3328773525499455	5.962704021430441e-09	7.629827390687523e-08	7.117485286962534
LMO4	0.21702991143818046	0.03201776636620753	6.193826016199459	1.0154106424180796e-08	1.1575681323566108e-07	6.936453437773762
CBX7	0.9476260302095344	0.23672535395685582	6.181617978255773	9.611268055699548e-09	1.1370311454572862e-07	6.944227638993023
FOXO3	0.7811689920742714	0.2811175517418714	6.178931632237688	1.236024059531135e-08	1.336184629872451e-07	6.8741335282416305
APC	0.681918805523883	0.11418117968998343	6.160399154657788	1.5434283712550928e-08	1.6374711490706983e-07	6.785826343189477
PML	0.23739570761521614	0.06323398016299267	6.095439249400557	8.344501941128002e-09	1.0258828857033839e-07	6.988902215243558
NR4A1	0.3310431753191288	-0.04924620537051316	6.094261211382038	1.1167796125173479e-08	1.2503943161578164e-07	6.90295300913067
IFI16	0.7533668366238775	-0.013224599793089634	6.066534711296937	2.515369584637147e-08	2.503391634234113e-07	6.601471203415362
FHL2	0.7831306991113844	0.1349585069952391	6.044666168149655	1.566958037388228e-08	1.6374711490706983e-07	6.785826343189477
APBB1	1.143720329374296	0.43078176576490496	6.007759662180592	2.0761519678515524e-08	2.0995923932950378e-07	6.677865009325489
ENO1	2.2257742238019937	0.3869944733011271	5.90543001901219	6.966045733728759e-08	5.902311723037746e-07	6.228977857523256
MXI1	2.2257742238019937	0.3869944733011271	5.90543001901219	6.966045733728759e-08	5.902311723037746e-07	6.228977857523256
HEXIM1	1.1190695389028364	0.008356743446611204	5.848630961270518	3.2821035078856896e-08	3.2154357803817616e-07	6.492760159850253
CRX	0.14050220374306435	0.0366867675203472	5.824058386033359	5.8911531698482954e-08	5.130212552076224e-07	6.289864641071123
ECD	0.24000842308221876	-0.0074248578043749035	5.766625115180435	4.368613245098909e-08	4.0281183892309057e-07	6.394897773710744
TCF19	1.1617727107730345	0.33969702048504136	5.764841033977002	7.470510891576466e-08	6.163171485550583e-07	6.210195748188158
SLC2A4RG	0.2300393371949415	0.023295627874105846	5.6382336924645395	1.0031940867217109e-07	7.962059397145731e-07	6.098974586893039
KLF4	0.1317556826746157	-0.006487797938965144	5.6300468865064515	1.0230396179496012e-07	8.01807300568e-07	6.095929993755287
ZNF382	0.5097119017760748	0.12233307349903566	5.596340040117377	1.3419465508896867e-07	1.0387660338368315e-06	5.98348225961879
RUNX2	0.5171168659987033	-0.07881477659019388	5.5824179924050945	1.5465528632776086e-07	1.173013088470498e-06	5.930697142003139
