	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_A375	negLog10_FDR	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_HT29	negLog10_FDR
AATF	-0.189	0.057	-2.050	4.171e-02	6.723e-02	1.172	-1.089	-0.174	-5.347	6.525e-07	4.133e-06	5.384
ABL1	0.315	0.121	4.972	1.279e-06	6.366e-06	5.196	-0.001	-0.034	0.925	3.566e-01	4.375e-01	0.359
AES	0.554	0.118	4.331	2.009e-05	7.323e-05	4.135	0.066	-0.067	1.119	2.649e-01	3.397e-01	0.469
AHR	-0.379	-0.008	-5.944	1.116e-08	8.138e-08	7.089	-0.358	0.070	-5.710	8.902e-08	7.156e-07	6.145
AIP	-0.108	-0.148	0.631	5.282e-01	5.904e-01	0.229	-0.053	0.077	-1.725	8.686e-02	1.332e-01	0.876
ANKRD1	0.180	0.051	2.719	6.944e-03	1.409e-02	1.851	-0.083	0.032	-2.030	4.437e-02	7.301e-02	1.137
APBB1	0.897	0.275	5.251	4.130e-07	2.213e-06	5.655	1.144	0.431	6.008	2.076e-08	2.100e-07	6.678
APC	0.096	0.015	1.421	1.570e-01	2.164e-01	0.665	0.682	0.114	6.160	1.543e-08	1.637e-07	6.786
APEX1	-0.127	0.017	-3.142	1.913e-03	4.509e-03	2.346	-0.282	-0.056	-4.873	3.245e-06	1.920e-05	4.717
AR	-0.058	0.004	-3.551	4.644e-04	1.312e-03	2.882	-0.053	-0.009	-2.577	1.104e-02	2.205e-02	1.657
ARID3A	-0.197	-0.059	-3.392	8.050e-04	2.077e-03	2.683	-0.164	-0.020	-3.577	4.561e-04	1.423e-03	2.847
ARNT	-0.094	-0.015	-1.806	7.213e-02	1.101e-01	0.958	0.159	0.062	1.989	4.886e-02	7.916e-02	1.101
ARNTL	-0.079	-0.000	-1.363	1.743e-01	2.391e-01	0.621	0.069	0.050	0.253	8.003e-01	8.476e-01	0.072
ARNTL2	-0.522	-0.223	-1.895	5.910e-02	9.149e-02	1.039	-0.595	-0.275	-2.234	2.692e-02	4.742e-02	1.324
ASCL1	1.161	0.340	6.175	4.132e-09	3.409e-08	7.467	1.073	0.204	5.547	1.908e-07	1.408e-06	5.852
ATF1	-0.046	0.000	-0.999	3.190e-01	3.930e-01	0.406	0.046	0.022	0.620	5.361e-01	6.123e-01	0.213
ATF2	0.093	-0.044	3.434	6.936e-04	1.851e-03	2.733	-0.015	-0.085	1.397	1.652e-01	2.297e-01	0.639
ATF3	0.164	0.131	0.573	5.675e-01	6.309e-01	0.200	-0.056	0.151	-3.573	4.911e-04	1.496e-03	2.825
ATF4	0.447	0.110	6.224	2.346e-09	2.164e-08	7.665	0.157	0.081	1.610	1.099e-01	1.637e-01	0.786
ATF5	-0.275	0.008	-5.198	3.571e-07	1.964e-06	5.707	0.261	0.108	2.360	1.949e-02	3.594e-02	1.444
ATF6	0.080	0.032	1.421	1.565e-01	2.162e-01	0.665	0.160	0.077	1.918	5.731e-02	9.190e-02	1.037
ATF7	0.154	-0.012	2.173	3.073e-02	5.138e-02	1.289	-0.231	-0.156	-0.993	3.223e-01	4.010e-01	0.397
ATM	-0.022	-0.003	-0.811	4.180e-01	4.945e-01	0.306	-0.068	0.057	-3.930	1.408e-04	5.103e-04	3.292
ATOH1	1.151	-0.055	7.309	3.112e-12	5.576e-11	10.254	1.281	0.182	4.745	5.719e-06	3.013e-05	4.521
BACH1	0.055	-0.033	1.063	2.889e-01	3.645e-01	0.438	0.095	-0.044	1.825	7.029e-02	1.102e-01	0.958
BACH2	0.356	-0.082	2.409	1.679e-02	3.053e-02	1.515	0.140	-0.012	0.779	4.378e-01	5.199e-01	0.284
BARD1	0.005	-0.101	1.575	1.166e-01	1.661e-01	0.780	-0.096	-0.060	-0.555	5.796e-01	6.536e-01	0.185
BCL11A	-0.022	-0.162	2.019	4.430e-02	7.050e-02	1.152	-0.309	-0.179	-1.473	1.432e-01	2.022e-01	0.694
BCL3	0.064	0.032	0.667	5.052e-01	5.695e-01	0.245	0.066	-0.048	1.951	5.332e-02	8.573e-02	1.067
BCL6	-0.061	-0.020	-1.315	1.899e-01	2.550e-01	0.594	-0.174	0.003	-5.339	4.477e-07	2.986e-06	5.525
BHLHE41	0.727	0.258	3.542	5.103e-04	1.429e-03	2.845	0.929	0.144	7.286	2.123e-11	5.789e-10	9.237
BMI1	-0.284	0.168	-3.557	4.714e-04	1.326e-03	2.878	-0.214	0.152	-2.243	2.666e-02	4.712e-02	1.327
BRCA1	0.261	0.055	7.580	8.217e-13	1.662e-11	10.779	0.141	0.051	2.999	3.270e-03	7.825e-03	2.107
BRD7	0.093	0.114	-0.355	7.228e-01	7.720e-01	0.112	0.076	0.128	-0.672	5.032e-01	5.810e-01	0.236
BTAF1	0.539	0.063	7.004	3.483e-11	4.747e-10	9.324	0.635	0.127	5.482	2.592e-07	1.826e-06	5.738
BTF3	-0.048	0.024	-2.198	2.880e-02	4.893e-02	1.310	0.089	0.021	2.049	4.180e-02	6.951e-02	1.158
BTG2	0.111	0.034	1.196	2.331e-01	3.058e-01	0.515	0.174	-0.058	3.849	1.722e-04	6.031e-04	3.220
CBFA2T3	-0.270	-0.314	0.308	7.585e-01	8.033e-01	0.095	-0.661	-0.231	-2.953	3.554e-03	8.440e-03	2.074
CBX7	0.812	0.113	7.521	6.468e-13	1.352e-11	10.869	0.948	0.237	6.182	9.611e-09	1.137e-07	6.944
CBX8	-1.661	-1.117	-2.449	1.515e-02	2.777e-02	1.556	-0.802	-0.242	-2.613	1.029e-02	2.068e-02	1.684
CDCA7L	-0.685	-0.194	-2.560	1.102e-02	2.133e-02	1.671	-0.407	0.193	-2.752	6.716e-03	1.447e-02	1.839
CDX1	-0.928	-0.071	-7.171	1.733e-11	2.527e-10	9.597	-1.535	-0.386	-7.095	1.583e-10	3.101e-09	8.508
CDX2	0.292	0.073	4.923	1.615e-06	7.789e-06	5.109	0.348	0.057	4.829	4.539e-06	2.496e-05	4.603
CEBPA	0.037	-0.056	2.326	2.091e-02	3.641e-02	1.439	0.226	0.009	4.168	5.609e-05	2.269e-04	3.644
CEBPB	0.044	0.020	0.706	4.812e-01	5.476e-01	0.262	0.008	-0.037	1.429	1.554e-01	2.174e-01	0.663
CEBPD	-0.455	-0.153	-5.539	8.637e-08	5.415e-07	6.266	-0.140	-0.070	-1.269	2.065e-01	2.772e-01	0.557
CEBPE	-0.035	0.026	-0.785	4.334e-01	5.070e-01	0.295	0.452	0.192	2.368	1.980e-02	3.630e-02	1.440
CEBPG	0.157	0.009	1.012	3.124e-01	3.887e-01	0.410	0.399	0.246	1.134	2.583e-01	3.361e-01	0.474
CEBPZ	-0.517	0.105	-7.067	1.557e-11	2.325e-10	9.634	-0.251	0.083	-3.104	2.339e-03	5.889e-03	2.230
CHD4	0.342	0.341	0.008	9.937e-01	9.975e-01	0.001	0.317	0.121	1.278	2.034e-01	2.737e-01	0.563
CHD8	-1.920	-0.675	-7.479	1.815e-12	3.448e-11	10.462	-1.384	-0.452	-4.832	3.483e-06	2.003e-05	4.698
CIITA	0.121	0.084	0.753	4.525e-01	5.237e-01	0.281	0.246	0.176	1.331	1.855e-01	2.545e-01	0.594
CITED2	-0.308	0.122	-2.651	8.522e-03	1.702e-02	1.769	-0.327	0.057	-2.247	2.624e-02	4.660e-02	1.332
